# survey2_id x y class1
134 177 306 "Type I"
147 689 512 "Type III"
123 191 522 "Type I"
104 584 697 "Type II"
132 376 65 "Type I"
13 412 165 "Type III"
109 34 583 "Type I"
1 568 384 "Type I"
28 547 539 "Type II"
91 168 571 "Type II"
25 679 520 "Type II"
86 151 604 "Type III"
9 150 650 "Type III"
83 130 92 "Type III"
26 408 429 "Type I"
6 198 333 "Type I"
5 322 599 "Type III"
143 393 74 "Type II"
12 17 520 "Type I"
124 625 790 "Type III"
146 252 95 "Type I"
51 313 374 "Type III"
58 352 584 "Type III"
41 282 213 "Type I"
37 163 565 "Type III"
98 419 2 "Type III"
122 166 33 "Type II"
117 5 292 "Type III"
14 635 134 "Type II"
110 151 240 "Type II"
22 66 735 "Type II"
148 688 619 "Type I"
21 35 618 "Type I"
70 693 626 "Type III"
145 438 333 "Type III"
67 89 507 "Type I"
130 660 694 "Type I"
136 639 447 "Type I"
144 254 349 "Type III"
69 525 248 "Type I"
19 61 80 "Type III"
10 81 522 "Type I"
44 306 723 "Type II"
63 67 157 "Type II"
140 261 511 "Type II"
48 527 115 "Type II"
32 493 284 "Type I"
47 175 555 "Type III"
112 456 376 "Type I"
11 439 351 "Type I"
77 504 699 "Type I"
54 61 522 "Type I"
2 226 131 "Type II"
115 688 160 "Type I"
52 182 751 "Type III"
85 16 136 "Type II"
94 593 447 "Type II"
71 200 784 "Type III"
149 465 146 "Type I"
40 347 624 "Type III"
15 152 188 "Type II"
16 353 744 "Type I"
61 2 87 "Type I"
131 575 144 "Type I"
126 89 513 "Type II"
53 590 126 "Type II"
101 477 52 "Type II"
60 412 482 "Type I"
100 624 702 "Type II"
36 425 186 "Type I"
43 361 199 "Type II"
33 413 223 "Type I"
62 382 462 "Type III"
72 314 698 "Type II"
24 638 268 "Type I"
57 182 399 "Type I"
92 22 664 "Type I"
76 641 681 "Type III"
81 604 420 "Type II"
74 307 241 "Type III"
93 511 356 "Type III"
7 142 191 "Type III"
46 123 642 "Type III"
35 630 339 "Type I"
125 411 299 "Type II"
50 112 132 "Type I"
23 383 107 "Type II"
87 293 499 "Type III"
88 317 771 "Type III"
135 332 239 "Type II"
116 361 472 "Type I"
129 380 736 "Type II"
78 379 220 "Type I"
106 71 390 "Type I"
102 473 304 "Type III"
90 271 583 "Type II"
64 637 287 "Type III"
42 288 503 "Type II"
103 87 446 "Type III"
18 521 565 "Type III"
142 516 732 "Type II"
30 598 193 "Type I"
127 84 434 "Type III"
84 199 722 "Type I"
95 383 613 "Type II"
39 584 593 "Type II"
20 66 72 "Type III"
17 581 117 "Type I"
128 501 328 "Type II"
8 497 326 "Type III"
