id,survey1_id,i,j
0,29,5262,1187
1,20,7551,7445
2,30,1402,7410
3,50,8325,2188
4,57,7500,7129
5,88,3776,569
6,94,6632,7582
7,62,2178,1883
8,36,6705,7392
9,74,8410,6314
10,91,8865,1214
11,67,1420,4779
12,99,6266,4040
13,2,1617,6439
14,20,1219,2065
15,41,9220,2133
16,66,2376,2759
17,41,516,1871
18,71,5748,2737
19,20,29,4259
20,65,6222,1043
21,98,3310,3663
22,50,4924,3134
23,12,5966,1823
24,5,8650,1254
25,19,7717,5230
26,49,4239,7933
27,30,5544,2099
28,63,2504,2804
29,63,2317,3226
30,4,7498,4035
31,79,4066,78
32,94,7065,4534
33,67,7192,4582
34,51,2775,3169
35,6,5229,4704
36,0,8985,5407
37,25,5147,1027
38,18,4778,6342
39,43,4097,2098
40,5,8510,5355
41,24,7867,3277
42,15,563,3221
43,56,9271,7788
44,31,4861,6500
45,4,2177,6878
46,59,7429,3798
47,52,7554,6339
48,73,2769,2138
49,41,1679,3035
50,8,1176,7390
51,57,8318,2324
52,14,5087,134
53,89,101,544
54,76,1235,7851
55,52,6176,7253
56,56,3946,7823
57,11,2698,7174
58,79,8751,1819
59,55,2613,1387
60,37,6940,260
61,28,5145,2481
62,70,6221,2690
63,71,6572,3986
64,98,6957,3550
65,25,1043,836
66,30,3833,2672
67,58,2128,2163
68,13,608,3050
69,80,6694,1468
